"","mse","specificity","sensitivity","model","sample_size"
"output_model1_rep1000_n500.RData.1",0,1,1,1,500
"output_model1_rep1000_n500.RData.2",0.000612194370152861,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.3",0,1,1,1,500
"output_model1_rep1000_n500.RData.4",1.84717817868012e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.5",0.00606068227162436,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.6",0,1,1,1,500
"output_model1_rep1000_n500.RData.7",0,1,1,1,500
"output_model1_rep1000_n500.RData.8",0,1,1,1,500
"output_model1_rep1000_n500.RData.9",4.872140635708e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.10",0,1,1,1,500
"output_model1_rep1000_n500.RData.11",2.54761408429123e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.12",0,1,1,1,500
"output_model1_rep1000_n500.RData.13",0,1,1,1,500
"output_model1_rep1000_n500.RData.14",1.49714683337386e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.15",0,1,1,1,500
"output_model1_rep1000_n500.RData.16",0.000635594421207253,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.17",0,1,1,1,500
"output_model1_rep1000_n500.RData.18",0.00136694375565767,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.19",0,1,1,1,500
"output_model1_rep1000_n500.RData.20",0.000893215034244856,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.21",0.000126886164960695,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.22",0,1,1,1,500
"output_model1_rep1000_n500.RData.23",0.000193694204904057,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.24",0,1,1,1,500
"output_model1_rep1000_n500.RData.25",0,1,1,1,500
"output_model1_rep1000_n500.RData.26",0,1,1,1,500
"output_model1_rep1000_n500.RData.27",0,1,1,1,500
"output_model1_rep1000_n500.RData.28",0,1,1,1,500
"output_model1_rep1000_n500.RData.29",0,1,1,1,500
"output_model1_rep1000_n500.RData.30",0,1,1,1,500
"output_model1_rep1000_n500.RData.31",0,1,1,1,500
"output_model1_rep1000_n500.RData.32",3.25854348099405e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.33",0,1,1,1,500
"output_model1_rep1000_n500.RData.34",0,1,1,1,500
"output_model1_rep1000_n500.RData.35",0,1,1,1,500
"output_model1_rep1000_n500.RData.36",0,1,1,1,500
"output_model1_rep1000_n500.RData.37",3.46436964277119e-06,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.38",0,1,1,1,500
"output_model1_rep1000_n500.RData.39",6.46857583575473e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.40",0,1,1,1,500
"output_model1_rep1000_n500.RData.41",0,1,1,1,500
"output_model1_rep1000_n500.RData.42",0,1,1,1,500
"output_model1_rep1000_n500.RData.43",0,1,1,1,500
"output_model1_rep1000_n500.RData.44",0,1,1,1,500
"output_model1_rep1000_n500.RData.45",0,1,1,1,500
"output_model1_rep1000_n500.RData.46",0,1,1,1,500
"output_model1_rep1000_n500.RData.47",0,1,1,1,500
"output_model1_rep1000_n500.RData.48",0,1,1,1,500
"output_model1_rep1000_n500.RData.49",0,1,1,1,500
"output_model1_rep1000_n500.RData.50",0,1,1,1,500
"output_model1_rep1000_n500.RData.51",0,1,1,1,500
"output_model1_rep1000_n500.RData.52",5.58011172682783e-35,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.53",0,1,1,1,500
"output_model1_rep1000_n500.RData.54",0,1,1,1,500
"output_model1_rep1000_n500.RData.55",0,1,1,1,500
"output_model1_rep1000_n500.RData.56",0,1,1,1,500
"output_model1_rep1000_n500.RData.57",0,1,1,1,500
"output_model1_rep1000_n500.RData.58",0,1,1,1,500
"output_model1_rep1000_n500.RData.59",4.45578291807545e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.60",0,1,1,1,500
"output_model1_rep1000_n500.RData.61",0,1,1,1,500
"output_model1_rep1000_n500.RData.62",0.00167055003270889,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.63",0.000293255106573137,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.64",0,1,1,1,500
"output_model1_rep1000_n500.RData.65",0.00226031839154882,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.66",0,1,1,1,500
"output_model1_rep1000_n500.RData.67",0,1,1,1,500
"output_model1_rep1000_n500.RData.68",0,1,1,1,500
"output_model1_rep1000_n500.RData.69",0,1,1,1,500
"output_model1_rep1000_n500.RData.70",0.000223069495826783,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.71",1.69561190743796e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.72",0,1,1,1,500
"output_model1_rep1000_n500.RData.73",0.000458482172284906,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.74",0.000240828569003499,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.75",1.13288227058601e-06,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.76",0,1,1,1,500
"output_model1_rep1000_n500.RData.77",0,1,1,1,500
"output_model1_rep1000_n500.RData.78",0,1,1,1,500
"output_model1_rep1000_n500.RData.79",0,1,1,1,500
"output_model1_rep1000_n500.RData.80",0,1,1,1,500
"output_model1_rep1000_n500.RData.81",0,1,1,1,500
"output_model1_rep1000_n500.RData.82",0.00095035014709745,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.83",0,1,1,1,500
"output_model1_rep1000_n500.RData.84",0.00222703917359869,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.85",0.00301216646410823,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.86",1.203065695475e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.87",0,1,1,1,500
"output_model1_rep1000_n500.RData.88",0,1,1,1,500
"output_model1_rep1000_n500.RData.89",1.75979098597197e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.90",0.000171179649960865,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.91",0,1,1,1,500
"output_model1_rep1000_n500.RData.92",0.00679437748334747,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.93",0.00239215996603496,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.94",0,1,1,1,500
"output_model1_rep1000_n500.RData.95",0,1,1,1,500
"output_model1_rep1000_n500.RData.96",3.1030620082366e-32,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.97",0,1,1,1,500
"output_model1_rep1000_n500.RData.98",0.000937082695395773,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.99",0,1,1,1,500
"output_model1_rep1000_n500.RData.100",0,1,1,1,500
"output_model1_rep1000_n500.RData.101",0.00172503505384751,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.102",0,1,1,1,500
"output_model1_rep1000_n500.RData.103",0,1,1,1,500
"output_model1_rep1000_n500.RData.104",0,1,1,1,500
"output_model1_rep1000_n500.RData.105",0,1,1,1,500
"output_model1_rep1000_n500.RData.106",0,1,1,1,500
"output_model1_rep1000_n500.RData.107",0,1,1,1,500
"output_model1_rep1000_n500.RData.108",1.05951090673793e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.109",0.000601044540467849,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.110",0,1,1,1,500
"output_model1_rep1000_n500.RData.111",0,1,1,1,500
"output_model1_rep1000_n500.RData.112",0,1,1,1,500
"output_model1_rep1000_n500.RData.113",0.0114950566249079,0.842105263157895,1,1,500
"output_model1_rep1000_n500.RData.114",0.0051531663220195,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.115",0.0011691883886563,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.116",0,1,1,1,500
"output_model1_rep1000_n500.RData.117",0.0005100007837772,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.118",0.00436274367817574,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.119",0,1,1,1,500
"output_model1_rep1000_n500.RData.120",0.000148233898169273,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.121",8.32812296179349e-32,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.122",0,1,1,1,500
"output_model1_rep1000_n500.RData.123",0.0001678668602472,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.124",0.000861530858217391,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.125",0.00527685510891821,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.126",0,1,1,1,500
"output_model1_rep1000_n500.RData.127",0.000251934285055889,0.973684210526316,1,1,500
